Invoice,RegionKey,InventoryDate,SoldDate,CustomerKey,ProductKey,SoldLineNumber,SoldQuantity
35080,1,9/04/16,1/01/17,70416,23,1,1
35079,3,11/06/16,1/01/17,69490,40,1,1
35082,2,11/12/16,1/01/17,59642,9,1,1
35081,7,10/12/16,1/01/17,65535,58,1,1
35083,11,11/01/16,1/02/17,70408,69,1,1
35084,3,12/10/16,1/02/17,65761,14,1,1
35086,2,8/09/16,1/02/17,67237,19,1,1
35085,2,11/08/16,1/02/17,63014,4,1,1
35093,2,11/30/16,1/03/17,72584,23,1,1
35090,3,7/08/16,1/03/17,57036,7,1,1
35088,11,8/25/16,1/03/17,56199,72,1,1
35092,2,11/15/16,1/03/17,58971,12,1,1
35089,3,8/15/16,1/03/17,71852,2,1,1
35091,2,9/25/16,1/03/17,68775,64,1,1
35087,11,7/26/16,1/03/17,58741,49,1,1
35094,7,7/16/16,1/03/17,59618,56,1,1
35096,6,11/18/16,1/04/17,70173,35,1,1
35097,3,10/18/16,1/04/17,72437,62,1,1
35098,1,9/23/16,1/04/17,71981,61,1,1
35095,11,9/12/16,1/04/17,72379,52,1,1
35099,1,11/22/16,1/04/17,72821,62,1,1
35101,7,7/12/16,1/05/17,72121,62,1,1
35100,8,11/08/16,1/05/17,59861,31,1,1
35102,3,7/09/16,1/05/17,68081,12,1,1
35104,3,8/06/16,1/06/17,63661,7,1,1
35108,7,10/30/16,1/06/17,64221,44,1,1
35105,7,10/31/16,1/06/17,67079,33,1,1
35103,1,9/05/16,1/06/17,58296,61,1,1
35106,7,12/12/16,1/06/17,68540,16,1,1
35107,3,8/23/16,1/06/17,62334,60,1,1
35109,11,8/26/16,1/07/17,67048,33,1,1
35112,11,11/17/16,1/07/17,59927,11,1,1
35111,2,12/02/16,1/07/17,62677,64,1,1
35110,2,12/01/16,1/07/17,55957,39,1,1
35119,2,10/11/16,1/08/17,59362,61,1,1
35117,1,11/10/16,1/08/17,63129,44,1,1
35116,1,11/13/16,1/08/17,57115,4,1,1
35114,1,9/14/16,1/08/17,60132,21,1,1
35115,3,11/11/16,1/08/17,66390,18,1,1
35118,2,7/24/16,1/08/17,56470,73,1,1
35113,3,8/07/16,1/08/17,61937,61,1,1
35120,2,9/10/16,1/08/17,58296,27,1,1
35124,2,12/16/16,1/09/17,59387,70,1,1
35122,3,9/08/16,1/09/17,67524,17,1,1
35123,7,11/16/16,1/09/17,66655,61,1,1
35121,1,9/12/16,1/09/17,70096,74,1,1
35129,2,10/19/16,1/10/17,70296,42,1,1
35127,1,9/21/16,1/10/17,68293,60,1,1
35128,2,9/30/16,1/10/17,71126,51,1,1
35126,6,12/05/16,1/10/17,67264,32,1,1
35136,2,10/25/16,1/11/17,66832,49,1,1
35130,11,8/16/16,1/11/17,65648,22,1,1
35134,7,12/11/16,1/11/17,61038,26,1,1
35138,2,11/14/16,1/11/17,67977,19,1,1
35132,3,9/13/16,1/11/17,70567,6,1,1
35137,2,10/13/16,1/11/17,59286,60,1,1
35133,1,11/26/16,1/11/17,58817,40,1,1
35131,1,9/29/16,1/11/17,64030,44,1,1
35135,3,12/11/16,1/11/17,70785,58,1,1
35141,3,12/14/16,1/12/17,72836,58,1,1
35143,3,9/29/16,1/12/17,61535,54,1,1
35142,7,7/18/16,1/12/17,62388,74,1,1
35145,2,11/28/16,1/12/17,60651,30,1,1
35144,2,10/17/16,1/12/17,63979,1,1,1
35140,6,9/26/16,1/12/17,63470,53,1,1
35139,6,9/01/16,1/12/17,55070,55,1,1
35148,1,8/10/16,1/13/17,62927,60,1,1
35147,3,9/20/16,1/13/17,63276,63,1,1
35146,11,11/13/16,1/13/17,67013,35,1,1
35149,11,8/13/16,1/14/17,61595,27,1,1
35154,2,11/30/16,1/14/17,66566,47,1,1
35151,1,12/08/16,1/14/17,55259,15,1,1
35150,1,8/26/16,1/14/17,65029,63,1,1
35157,2,8/19/16,1/14/17,63051,64,1,1
